1000000 5 0.1 10000
178589 181408 199661 161753 278589 
293509 393509 140273 88347 84362 
156274 192403 198075 256274 196974 
138841 238841 198808 205534 217976 
415259 14897 515259 24612 29973 
333445 433445 109825 55782 67503 
127766 209536 215756 219176 227766 
378798 478798 58123 42962 41319 
367207 60730 58929 467207 45927 
395178 47352 31062 495178 31230 
202041 180781 302041 156946 158191 
383007 40653 483007 50491 42842 
390859 490859 51859 41857 24566 
315775 96192 101649 415775 70609 
340564 80613 61345 76914 440564 
123727 215681 223727 218669 218196 
354937 454937 67300 62903 59923 
207159 147986 150331 187365 307159 
275204 108510 105609 135473 375204 
162351 183719 262351 203725 187854 
348324 67738 69446 66168 448324 
174561 208900 179975 274561 162003 
252152 183983 352152 101427 110286 
236156 98052 169072 336156 160564 
336392 68495 436392 94192 64529 
187921 230246 287921 195823 98089 
241493 341493 155899 139240 121875 
343222 61336 443222 66258 85962 
153208 182696 199883 253208 211005 
383463 46219 38245 48610 483463 
355589 67450 48892 455589 72480 
303407 153680 55967 403407 83539 
328656 50061 85393 428656 107234 
258711 358711 94649 182001 105928 
245297 345297 86182 191889 131335 
395655 34617 495655 37776 36297 
346491 43953 92308 70757 446491 
222614 157531 322614 158765 138476 
267091 93833 367091 107759 164226 
438199 7105 538199 7701 8796 
160817 192414 211728 174224 260817 
131331 213137 212016 212185 231331 
449791 169 549791 147 102 
301939 102727 106638 401939 86757 
403254 503254 22329 38536 32627 
195896 178066 202656 127486 295896 
319725 97499 65839 419725 97212 
298645 67557 110173 124980 398645 
379417 61750 479417 34604 44812 
184924 146397 284924 207000 176755 
290207 59659 118492 141435 390207 
255976 152198 151277 84573 355976 
214155 314155 193103 150202 128385 
271324 103408 131369 371324 122575 
323289 423289 80722 101277 71423 
440778 4994 5271 540778 8179 
352646 59530 80737 54441 452646 
371053 471053 53059 54171 50664 
131304 211301 218009 208082 231304 
419795 519795 22144 19016 19250 
231062 331062 115915 177362 144599 
209832 129158 215523 135655 309832 
359960 57913 43107 79060 459960 
200083 151453 300083 171394 176987 
334029 72158 434029 49427 110357 
285083 115426 95170 385083 119238 
213912 148220 148173 175783 313912 
165621 197418 190121 265621 181219 
220313 320313 153815 207876 97683 
314161 87573 105536 414161 78569 
153631 210148 186452 253631 196138 
340691 440691 64923 108890 44805 
178552 278552 193107 187626 162163 
345583 445583 60237 88446 60151 
270165 140737 370165 97891 121042 
131531 207596 231531 217687 211655 
246855 144219 346855 100415 161656 
157964 201820 257964 198798 183454 
247877 143526 148748 347877 111972 
123561 220420 216918 215540 223561 
261575 361575 93916 152685 130249 
270282 370282 135053 70317 154066 
248298 150846 161642 348298 90916 
325143 425143 97165 58469 94080 
342495 53132 90771 71107 442495 
131582 205797 219049 211990 231582 
247443 347443 127176 130102 147836 
421678 14579 521678 25587 16478 
156550 188827 187713 210360 256550 
275596 136991 118216 375596 93601 
303847 99514 88706 403847 104086 
181801 194893 281801 121304 220201 
307604 131470 407604 116151 37171 
142820 210023 242820 199255 205082 
196409 154183 165168 296409 187831 
443448 4974 543448 3750 4380 
280958 123801 380958 118251 96032 
269472 122319 150593 369472 88144 
220565 320565 153075 120779 185016 
229277 112217 163981 165248 329277 
368782 55137 63621 43678 468782 
228079 163469 328079 170556 109817 
127432 227432 219484 214495 211157 
151688 251688 186110 216081 194433 
409113 32166 509113 34414 15194 
416691 24679 13470 28469 516691 
447270 547270 1862 2159 1439 
390754 47166 29821 490754 41505 
284924 73986 110558 384924 145608 
412071 22018 512071 23794 30046 
233116 159443 333116 150375 123950 
234439 334439 150740 137828 142554 
412270 512270 15732 30960 28768 
259699 154517 115432 359699 110653 
285911 96438 131067 100673 385911 
170907 270907 221534 213256 123396 
268670 131630 82038 148992 368670 
161063 195335 186565 195974 261063 
344150 90433 74666 46601 444150 
340697 65247 82922 440697 70437 
384622 42345 45525 484622 42886 
171490 194858 182976 271490 179186 
231524 137003 168818 331524 131131 
152292 218430 165520 211466 252292 
258330 358330 91748 133053 158539 
208831 172407 153737 156194 308831 
344197 444197 38110 75962 97534 
346539 56542 66847 446539 83533 
381502 481502 40590 38357 58049 
230717 153565 330717 165398 119603 
445783 1706 3317 545783 3411 
262365 132563 362365 155011 87696 
278100 144093 87559 378100 112148 
424094 13005 20324 18483 524094 
362959 46057 462959 106017 22008 
182541 183371 179940 171607 282541 
172850 133288 204231 272850 216781 
410502 43247 18568 510502 17181 
298561 99066 107988 95824 398561 
152694 252694 202199 196237 196176 
165836 197908 159143 265836 211277 
173246 223298 273246 195146 135064 
265854 115161 143664 109467 365854 
164659 208706 264659 192834 169142 
157371 257371 197602 197980 189676 
227911 153160 327911 178693 112325 
121219 218897 218292 221219 220373 
418364 16190 23859 518364 23223 
122399 218098 217918 222399 219186 
135582 205819 218125 204892 235582 
388915 488915 54443 43737 23990 
394149 37254 27520 494149 46928 
424073 524073 16430 19740 15684 
444261 544261 3810 2735 4933 
307587 407587 92936 97102 94788 
215583 315583 169520 176009 123305 
407853 27877 507853 35958 20459 
173949 183738 185458 273949 182906 
438715 538715 8309 6455 7806 
444127 3937 2941 4868 544127 
264899 94535 364899 177383 98284 
186862 286862 183113 166396 176767 
385367 485367 41782 56958 30526 
267779 104872 113922 145648 367779 
284896 83741 170435 384896 76032 
427461 527461 15970 12670 16438 
198270 159569 298270 203862 140029 
162419 262419 195428 183253 196481 
297908 397908 128430 77246 98508 
252065 147899 156844 91127 352065 
191453 168255 168273 180566 291453 
159990 172085 175391 259990 232544 
207152 173872 307152 178560 133264 
287525 387525 114097 89472 121381 
305162 405162 87926 83067 118683 
196317 135797 207933 163636 296317 
330550 69188 82033 87679 430550 
161470 235732 261470 160812 180516 
255219 110622 132787 355219 146153 
284699 122747 384699 85930 121925 
443395 3497 4730 4983 543395 
153906 253906 178085 219111 194992 
343110 81577 443110 72229 59974 
188577 288577 171557 231779 119510 
273948 142091 142646 67367 373948 
128541 228541 216036 213011 213871 
344227 65537 444227 77684 68325 
297752 134666 75644 397752 94186 
171974 196134 171429 188489 271974 
409671 22657 30886 27115 509671 
366200 466200 59166 60734 47700 
400489 500489 28387 44496 26139 
373959 33326 50312 68444 473959 
358392 458392 58143 62010 63063 
363512 463512 65436 67275 40265 
249746 175593 124889 349746 100026 
213026 183150 151460 139338 313026 
298954 398954 85589 101372 115131 
368536 468536 58062 56873 47993 
148119 248119 219202 213905 170655 
218137 134627 318137 158546 170553 
126803 217867 213297 226803 215230 
125253 225253 212583 218298 218613 
277880 82428 171134 377880 90678 
343787 71292 53926 443787 87208 
227254 162590 132683 150219 327254 
218830 155614 140646 318830 166080 
257267 147560 129290 357267 108616 
357538 457538 57519 50964 76441 
349942 50797 81219 68100 449942 
330579 67684 430579 82231 88927 
421816 20106 11916 521816 24346 
382607 34360 48390 482607 52036 
365017 75506 27358 465017 67102 
246303 346303 174308 103338 129748 
165940 265940 207131 196918 164071 
250402 123305 350402 149308 126583 
226380 157006 132488 157746 326380 
266730 103858 135353 127329 366730 
165523 188240 265523 183801 196913 
129281 216030 209186 229281 216222 
167598 267598 204559 175172 185073 
281381 381381 137916 96573 102749 
307495 71268 102659 111083 407495 
426388 14818 526388 22851 9555 
280278 380278 112319 128319 98806 
245483 130190 345483 157849 120995 
300745 109444 106967 82099 400745 
308363 103988 86445 408363 92841 
206397 306397 165552 128160 193494 
446640 1534 2706 546640 2480 
375375 475375 64455 60277 24518 
366764 46246 48324 71902 466764 
297140 397140 117951 121715 66054 
368520 81197 50907 30856 468520 
338400 77497 68510 438400 77193 
291613 52449 391613 136964 127361 
225684 143500 325684 162230 142902 
237486 132626 337486 167408 124994 
164236 213941 201653 155934 264236 
155700 169130 204195 215275 255700 
303365 82846 120150 90274 403365 
239452 118519 339452 199248 103329 
128903 218107 216767 228903 207320 
283251 91377 117919 124202 383251 
124496 213676 217087 220245 224496 
323769 423769 58893 88882 104687 
345158 59967 70962 78755 445158 
343404 443404 85366 42419 85407 
152052 185361 215813 252052 194722 
408505 34329 19513 508505 29148 
180140 280140 193363 171672 174685 
135462 199461 213089 216526 235462 
440107 6503 540107 4354 8929 
227090 154301 154435 137084 327090 
289296 124650 112540 389296 84218 
371360 32922 40992 471360 83366 
299013 132998 399013 77852 91124 
301859 59579 401859 123026 113677 
280339 102632 380339 108109 128581 
241221 162868 341221 110427 144263 
147249 218058 180299 207145 247249 
196495 187086 195385 124539 296495 
251223 150294 125175 351223 122085 
173636 273636 174288 207022 171418 
263043 138987 363043 102243 132684 
427257 18857 527257 14894 11735 
386405 33826 42788 486405 50576 
121072 219478 219130 221072 219248 
124769 224769 217167 215806 217489 
261014 92309 361014 132798 152865 
289903 389903 87292 94570 138332 
242941 153895 342941 118071 142152 
341451 58700 102523 55875 441451 
229204 329204 138427 143977 159188 
336404 67336 65475 94381 436404 
432211 11619 14487 532211 9472 
150635 250635 198907 213438 186385 
391083 31057 37915 491083 48862 
342363 106019 442363 60778 48477 
401909 31679 36198 501909 28305 
228748 134287 140490 328748 167727 
256201 101468 133797 356201 152333 
289896 389896 84636 124395 111177 
327968 88734 60108 95222 427968 
432393 532393 13170 13205 8839 
348649 85365 448649 70386 46951 
184881 284881 188819 162571 178848 
191068 291068 170997 172431 174436 
134193 234193 213440 212641 205533 
240179 340179 146075 115032 158535 
203308 176493 154969 161922 303308 
390554 41411 36181 490554 41300 
122273 222273 219181 217184 219089 
428247 16554 12607 528247 14345 
301123 100379 104844 92531 401123 
299311 101436 399311 111497 88445 
417205 517205 16482 20716 28392 
329340 85513 76348 429340 79459 
439965 6920 5017 8133 539965 
350782 66018 66736 65682 450782 
321908 92311 63381 421908 100492 
126322 216531 212432 218393 226322 
372318 472318 52291 40614 62459 
384978 57884 14249 484978 57911 
188959 152402 200515 169165 288959 
179006 279006 193358 189289 159341 
145155 203247 245155 199103 207340 
265351 105825 139510 123963 365351 
230253 142385 330253 161995 135114 
125320 217696 215341 225320 216323 
228090 142201 146214 328090 155405 
359128 64837 51122 65785 459128 
123723 216902 223723 218979 216673 
256281 180231 113395 93812 356281 
169233 269233 192243 174662 194629 
132930 232930 213987 211912 208241 
203121 188939 153786 151033 303121 
377097 45877 33874 477097 66055 
211958 188187 126701 161196 311958 
230141 139331 165973 134414 330141 
267372 367372 161764 109907 93585 
338678 55268 438678 93209 74167 
146939 204212 198784 246939 203126 
156519 196361 182498 208103 256519 
261556 361556 90319 145069 141500 
135712 206544 208182 235712 213850 
362554 68660 462554 47239 58993 
403194 34674 28046 503194 30892 
165262 265262 150509 189426 229541 
416077 18203 516077 27576 22067 
351293 70582 451293 70908 55924 
430177 14705 12346 530177 12595 
286339 83321 109892 386339 134109 
371062 471062 39065 60509 58302 
321729 53884 421729 51493 151165 
269645 161776 369645 82581 116353 
375727 73084 44933 475727 30529 
294099 97735 125920 88147 394099 
312492 412492 114412 62720 97884 
386947 49974 28216 47916 486947 
350562 93708 66727 450562 38441 
210927 310927 171461 131871 174814 
258040 358040 77290 202880 103750 
141230 205265 196664 215611 241230 
305156 73497 94646 405156 121545 
191160 291160 163086 166411 188183 
387635 34390 45691 44649 487635 
257331 357331 87194 101082 197062 
304905 69155 404905 120255 100780 
325168 63824 425168 108371 77469 
315411 121921 415411 55779 91478 
268594 139546 105073 368594 118193 
442720 5452 3583 542720 5525 
167345 201726 267345 206159 157425 
268981 145208 93951 368981 122879 
194740 163895 173261 173364 294740 
127714 212318 218888 213366 227714 
336627 79911 88323 58512 436627 
376961 30807 63394 476961 51877 
190791 171464 290791 185765 161189 
301838 98988 70823 401838 126513 
297434 397434 93177 87837 124118 
361986 58891 461986 55117 62020 
152837 252837 188198 194180 211948 
181130 152231 178879 281130 206630 
220246 109282 176727 320246 173499 
385443 32382 40958 55774 485443 
156787 191327 256787 210072 185027 
232234 147185 130525 332234 157822 
440118 5799 540118 8248 5717 
433798 10906 12152 533798 9346 
254318 80504 145222 354318 165638 
327912 427912 61566 74421 108189 
175788 157253 205830 185341 275788 
384076 32864 46878 52106 484076 
121170 218893 221170 218488 220279 
122331 219238 216805 219295 222331 
395533 495533 30475 46667 31792 
389079 489079 41374 33869 46599 
405751 505751 28957 35187 24354 
442585 542585 4409 7215 3206 
331041 431041 114034 47070 76814 
332924 432924 50502 72970 110680 
402343 26672 502343 43317 25325 
121384 218143 220053 221384 219036 
254254 111501 354254 136502 143489 
363062 58345 74212 463062 41319 
284187 384187 146195 86631 98800 
315294 80757 415294 70372 118283 
134929 207750 209363 234929 213029 
301936 401936 87781 102341 106006 
282718 108340 382718 82237 143987 
417642 13599 517642 16169 34948 
384147 484147 62039 41341 28326 
263804 125436 188179 58777 363804 
176148 276148 204107 144754 198843 
415634 41596 10042 515634 17094 
377647 47671 477647 53764 43271 
241047 145256 129850 341047 142800 
251707 142651 119266 134669 351707 
303567 403567 80452 138238 74176 
316045 109319 416045 76890 81701 
286380 73572 109281 386380 144387 
213249 144710 185790 313249 143002 
447606 1139 547606 2080 1569 
345648 445648 89560 56274 62870 
157369 195349 211462 178451 257369 
322711 94035 77401 422711 83142 
327512 97946 78122 68908 427512 
192740 187933 160391 166196 292740 
334077 45917 80563 434077 105366 
426837 16977 18761 526837 10588 
168000 186460 268000 190474 187066 
309915 70108 117815 92247 409915 
136679 200817 211769 236679 214056 
153348 214586 200401 253348 178317 
434127 9546 13605 8595 534127 
418071 23630 17034 518071 23194 
244712 144306 344712 150645 115625 
201874 168152 156489 171611 301874 
224130 128700 129205 324130 193835 
184271 167356 190125 173977 284271 
227051 176088 129049 327051 140761 
353771 39592 86808 453771 66058 
287312 387312 142098 84231 99047 
357662 46304 72105 66267 457662 
398412 26034 498412 39782 37360 
337909 437909 96501 81000 46681 
378028 478028 48500 31099 64345 
378085 61589 23826 478085 58415 
303195 98586 403195 99440 95584 
339315 72921 79467 68982 439315 
154660 190246 203403 254660 197031 
213111 191605 125448 156725 313111 
184394 153393 200396 284394 177423 
443216 543216 3154 4044 6370 
343152 39646 443152 87334 86716 
372363 53496 472363 43665 58113 
401714 28681 24875 43016 501714 
172275 272275 147425 221119 186906 
246152 142515 155378 346152 109803 
404143 42760 19656 504143 29298 
365501 72557 465501 43794 52647 
340928 80798 82028 55318 440928 
225833 139767 162376 325833 146191 
222623 134839 161999 322623 157916 
156107 180418 256107 188851 218517 
181346 156040 281346 143414 237854 
237742 135710 176996 111810 337742 
189073 182753 150082 289073 189019 
438202 8052 6220 9324 538202 
322406 107015 422406 75053 73120 
163147 216982 263147 186226 170498 
416522 29306 17144 20506 516522 
424931 14194 524931 16758 19186 
357621 457621 87425 41212 56121 
275397 135680 94012 375397 119514 
316008 100747 97948 416008 69289 
443243 543243 4216 3676 5622 
390070 490070 41292 49270 29298 
229067 135325 138035 168506 329067 
174411 209705 274411 135702 205771 
377288 39548 63914 477288 41962 
395692 30491 49158 28967 495692 
245844 146110 345844 131737 130465 
122848 220168 216900 222848 217236 
361286 52621 66619 461286 58188 
213905 118208 180408 173574 313905 
277037 130580 377037 86996 128350 
218366 131046 156438 318366 175784 
224326 159366 119018 172964 324326 
194813 153165 172433 184776 294813 
261043 142707 113595 361043 121612 
168599 212046 268599 155558 195198 
380496 59492 480496 28574 50942 
252540 112464 121787 352540 160669 
312117 85800 412117 91696 98270 
226802 163533 132278 150585 326802 
401535 501535 34402 32450 30078 
293555 168696 72373 393555 71821 
249917 120576 141090 349917 138500 
143479 182068 212770 243479 218204 
292744 109637 70440 134435 392744 
221134 159433 321134 176102 122197 
317220 84566 104284 76710 417220 
237987 149978 141593 132455 337987 
227121 154383 127837 327121 163538 
124883 224883 217792 215385 217057 
322497 95449 68750 90807 422497 
332920 75381 432920 74113 84666 
399916 36518 499916 29879 33771 
376477 70290 37817 38939 476477 
317248 417248 96867 83835 84802 
352090 65225 52491 452090 78104 
315432 69867 415432 117517 81752 
243370 157993 137730 117537 343370 
301977 104517 93224 401977 98305 
139133 208484 211057 202193 239133 
240843 340843 166046 132266 120002 
338547 438547 76642 51081 95183 
255932 134505 355932 130983 122648 
414450 21576 23976 514450 25548 
344824 444824 57383 108054 44915 
401843 36967 501843 29989 29358 
132365 211454 208809 215007 232365 
172927 272927 210284 153144 190718 
223498 323498 126795 144400 181809 
447931 1020 1325 1793 547931 
347486 115635 29495 447486 59898 
287673 122956 387673 101917 99781 
148387 196881 198589 207756 248387 
249167 148989 131753 120924 349167 
228846 177786 124200 328846 140322 
241417 341417 164077 122511 130578 
185671 200066 285671 153301 175291 
359740 59559 44342 459740 76619 
177230 176863 277230 222938 145739 
408923 29959 24851 27344 508923 
156738 184301 203041 256738 199182 
134381 234381 212206 205353 213679 
426795 17689 526795 14712 14009 
193216 169281 171685 172602 293216 
175567 275567 188363 213813 146690 
226792 176229 153019 326792 117168 
377705 53956 477705 26435 64199 
328003 93186 428003 76299 74509 
354843 454843 62615 76008 51691 
428916 528916 12543 12861 16764 
319404 92323 103500 419404 65369 
413876 18696 25304 28248 513876 
139309 208250 205996 239309 207136 
317621 97653 105781 61324 417621 
297588 48598 163703 92523 397588 
370608 38091 470608 69355 51338 
140605 193445 215298 210047 240605 
413984 32082 25592 513984 14358 
282286 96857 382286 138961 99610 
127286 217746 208491 219191 227286 
419173 28960 519173 19169 13525 
273968 163438 373968 106768 81858 
167866 163436 193680 267866 207152 
126250 213119 226250 216281 218100 
328945 46073 76682 428945 119355 
199474 157968 194891 148193 299474 
420773 17362 22024 19068 520773 
378574 56705 36493 478574 49654 
216609 173716 316609 160278 132788 
172236 165270 188973 201285 272236 
310565 410565 132227 79294 67349 
426541 16805 13379 16734 526541 
388212 62112 33742 488212 27722 
201533 152011 301533 179852 165071 
209391 109857 194296 309391 177065 
171599 192900 271599 196611 167291 
190298 185126 173852 160426 290298 
296538 71679 128256 106989 396538 
334699 31943 131635 434699 67024 
156491 187917 199451 199650 256491 
322842 90279 95948 422842 68089 
420404 520404 19297 17568 22327 
165544 161775 265544 223266 183871 
275725 67244 130582 150724 375725 
354744 66195 74510 454744 49807 
440618 6865 3874 8025 540618 
125426 217216 220370 211562 225426 
328475 53798 101862 87390 428475 
318436 418436 71298 92671 99159 
146946 213109 246946 187091 205908 
299008 67466 82643 151875 399008 
285361 125755 91212 112311 385361 
380513 30362 72905 35707 480513 
198179 298179 199350 125171 179121 
390586 490586 32616 45205 41007 
393557 45223 493557 26557 41106 
171529 198079 271529 160959 197904 
234645 118668 153169 158873 334645 
300949 172520 84773 40809 400949 
127117 218493 211430 227117 215843 
335513 53920 108516 435513 66538 
359955 31426 459955 90276 58388 
273344 125671 111932 373344 115709 
393187 25313 31798 493187 56515 
399563 31111 499563 35324 34439 
297931 52990 134578 116570 397931 
199966 169440 299966 173162 157466 
196494 176115 171334 296494 159563 
168975 185949 268975 190393 185708 
132595 214552 232595 206370 213888 
233616 152569 118660 333616 161539 
284639 107321 95630 384639 127771 
248468 348468 133189 131861 138014 
143947 205259 243947 199069 207778 
140393 202338 203579 240393 213297 
197946 297946 183363 162021 158724 
294101 71806 394101 139957 100035 
431991 12220 531991 8316 15482 
300800 400800 64107 116737 117556 
379293 40213 479293 58646 42555 
244922 141107 161248 344922 107801 
186954 173660 140630 211802 286954 
140364 240364 206212 206803 206257 
335992 92333 435992 45643 90040 
338998 50865 81290 438998 89849 
342782 71377 84922 442782 58137 
353857 63018 453857 70724 58544 
343857 94344 59747 443857 58195 
164319 152855 189583 228924 264319 
375590 56051 475590 23489 69280 
419814 24827 20677 14868 519814 
176947 134568 276947 170550 240988 
138359 238359 210788 207346 205148 
347181 68987 76808 59843 447181 
250955 108724 120052 350955 169314 
169338 194553 203830 269338 162941 
204665 304665 136896 134398 219376 
435669 535669 10360 11342 6960 
166896 211131 266896 233136 121941 
403804 503804 42431 33249 16712 
417594 30633 10006 24173 517594 
378262 44679 48407 50390 478262 
410015 21947 27718 510015 30305 
260822 146425 123823 360822 108108 
369255 45409 51198 64883 469255 
307635 63557 407635 87922 133251 
438892 6741 7677 538892 7798 
248915 99865 348915 188190 114115 
180257 224440 148392 280257 166654 
390789 26038 55063 37321 490789 
276038 376038 108735 146725 92464 
230067 175891 112655 330067 151320 
349645 66469 98218 449645 36023 
231689 331689 153320 166309 116993 
395384 30077 495384 41645 37510 
417060 17340 20572 27968 517060 
172433 207986 272433 175637 171511 
375001 50176 62164 37658 475001 
192805 190471 147984 292805 175935 
343687 75538 61161 443687 75927 
392058 492058 35244 30151 50489 
259033 116846 359033 159980 105108 
133252 208067 207920 233252 217509 
353564 74666 49877 453564 68329 
206399 306399 154732 128211 204259 
182023 282023 128457 221352 186145 
214488 158035 314488 201667 111322 
352848 51348 452848 64233 78723 
420962 10964 17463 29649 520962 
417484 13338 21193 30501 517484 
338283 87840 438283 62460 73134 
303874 102266 403874 81777 108209 
444839 2521 3264 4537 544839 
197027 165125 153574 297027 187247 
344695 80210 55845 444695 74555 
172267 224361 184073 147032 272267 
210647 160356 155481 162869 310647 
385746 56356 46640 485746 25512 
241942 146687 122155 147274 341942 
311209 82038 411209 105433 90111 
133643 209282 233643 212698 210734 
157621 201998 182098 257621 200662 
199048 182887 299048 117219 201798 
252359 352359 130716 179640 84926 
340669 42033 440669 98986 77643 
181564 281564 180388 177763 178721 
247502 137137 347502 111491 156368 
271378 132139 371378 120332 104773 
433494 13106 533494 8632 11274 
380033 54047 480033 52483 33404 
160158 260158 177411 199290 202983 
125071 216516 215450 225071 217892 
311398 96263 411398 83509 97432 
261107 82745 175227 361107 119814 
222595 322595 150041 152518 152251 
253088 170560 94356 128908 353088 
143251 243251 207073 190583 215842 
178327 187348 278327 183234 172764 
340081 440081 62082 74748 83008 
155603 191421 255603 203704 193669 
382138 482138 48617 32036 55071 
417615 28254 16467 517615 20049 
224025 164268 118959 168723 324025 
413650 33602 17606 21492 513650 
351173 69637 75095 52922 451173 
434922 8319 534922 12546 9291 
344909 49351 86958 444909 73873 
267768 103728 141992 367768 118744 
200862 162140 157855 178281 300862 
273187 103168 120346 373187 130112 
238939 338939 129525 156567 136030 
257339 117273 109734 357339 158315 
317201 82307 121582 417201 61709 
281671 74441 148585 381671 113632 
128368 228368 215413 213610 214241 
188296 206377 181087 288296 135944 
320477 66167 420477 118646 74233 
414378 22430 18203 514378 30611 
180399 280399 171976 145655 221571 
223729 143820 150720 158002 323729 
174666 176891 192612 274666 181165 
290498 144564 390498 128857 45583 
144290 211158 244290 200575 199687 
368414 50550 54047 58575 468414 
122436 218766 216264 222436 220098 
403375 29502 503375 37065 26683 
215026 168318 123359 315026 178271 
260579 107732 116633 360579 154477 
217818 163695 317818 158558 142111 
427843 19198 527843 13803 11313 
334694 76219 79227 75166 434694 
407661 23419 32395 507661 28864 
153086 208634 199821 253086 185373 
316520 82622 107694 76644 416520 
241207 341207 147677 114261 155648 
411638 25757 26528 511638 24439 
261496 137097 361496 101918 137993 
226740 326740 169852 132421 144247 
404728 21445 29372 504728 39727 
315963 104119 87571 415963 76384 
254512 133678 131398 125900 354512 
239935 339935 112104 97019 211007 
347229 53984 97055 54503 447229 
160871 190366 260871 223759 164133 
136159 208368 212112 236159 207202 
232686 150788 332686 138188 145652 
228460 165372 146904 130804 328460 
309355 62612 409355 82821 135857 
362778 60273 58325 462778 55846 
144426 203899 209243 198006 244426 
434545 7934 534545 8651 14325 
296703 122309 114000 396703 70285 
388701 44137 488701 32079 46382 
328885 428885 68172 79157 94901 
437535 5262 537535 9612 10056 
291731 109885 137967 391731 68686 
180428 132840 280428 199673 206631 
223232 170990 323232 120029 162517 
129034 212869 229034 215141 213922 
333813 76987 433813 69481 85906 
233600 190198 333600 120449 122153 
151181 251181 184993 184768 227877 
